Location,White,Black,Hispanic,Other,Total
United States,0.66,0.11,0.14,0.09,1
Alabama,0.69,0.26,N/A,0.03,1
Alaska,0.67,N/A,0.07,0.23,1
Arizona,0.6,0.04,0.29,0.07,1
Arkansas,0.73,0.16,0.06,0.06,1
California,0.41,0.05,0.33,0.21,1
Colorado,0.74,0.03,0.15,0.08,1
Connecticut,0.75,0.08,0.1,0.07,1
Delaware,0.66,0.18,0.09,0.07,1
District of Columbia,0.52,0.32,0.09,0.08,1
Florida,0.56,0.15,0.24,0.05,1
Georgia,0.57,0.29,0.06,0.07,1
Hawaii,0.15,N/A,0.11,0.72,1
Idaho,0.83,N/A,0.13,0.04,1
Illinois,0.67,0.11,0.14,0.08,1
Indiana,0.86,0.07,0.04,0.03,1
Iowa,0.9,N/A,0.04,0.04,1
Kansas,0.76,0.04,0.13,0.06,1
Kentucky,0.88,0.06,0.03,N/A,1
Louisiana,0.66,0.27,0.04,0.03,1
Maine,0.95,N/A,N/A,N/A,1
Maryland,0.59,0.25,0.08,0.08,1
Massachusetts,0.78,0.05,0.07,0.1,1
Michigan,0.8,0.11,0.04,0.06,1
Minnesota,0.83,0.03,0.08,0.07,1
Mississippi,0.66,0.3,0.02,0.02,1
Missouri,0.79,0.12,0.03,0.06,1
Montana,0.9,0.01,0.03,0.06,1
Nebraska,0.8,0.04,0.11,0.05,1
Nevada,0.52,0.06,0.28,0.14,1
New Hampshire,0.93,0.01,0.02,0.04,1
New Jersey,0.62,0.11,0.13,0.14,1
New Mexico,0.45,0.03,0.42,0.09,1
New York,0.62,0.12,0.14,0.11,1
North Carolina,0.67,0.2,0.07,0.06,1
North Dakota,0.9,0.02,0.03,0.05,1
Ohio,0.83,0.09,0.03,0.06,1
Oklahoma,0.69,0.07,0.09,0.15,1
Oregon,0.79,0.02,0.11,0.09,1
Pennsylvania,0.8,0.09,0.05,0.06,1
Rhode Island,0.79,0.06,0.09,0.06,1
South Carolina,0.69,0.23,0.04,0.04,1
South Dakota,0.88,0.02,0.03,0.07,1
Tennessee,0.78,0.13,0.04,0.04,1
Texas,0.5,0.12,0.3,0.08,1
Utah,0.83,0.01,0.12,0.04,1
Vermont,0.94,N/A,N/A,0.04,1
Virginia,0.67,0.15,0.08,0.1,1
Washington,0.68,0.03,0.1,0.19,1
West Virginia,0.95,0.02,N/A,N/A,1
Wisconsin,0.84,0.04,0.06,0.06,1
Wyoming,0.88,N/A,0.07,0.04,1
,,,,,
Notes,,,,,
The majority of our health coverage topics are based on analysis of the Census Bureau’s March Supplement to the Current Population Survey (the CPS Annual Social and Economic Supplement or ASEC) by the Kaiser Commission on Medicaid and the Uninsured. The CPS supplement is the primary source of annual health insurance coverage information in the United States.,,,,,
,,,,,
"In this analysis, income (mostly categorized as a percent of the federal poverty level) is aggregated by Census-defined family units. Analyzing income by family unit captures income available to a group of people who are likely sharing resources. However, family units may not be the appropriate measure for capturing eligibility for health insurance.  Eligibility for health insurance is more accurately estimated using ""health insurance units,"" which may be counted differently for different types of insurance (such as Medicaid or employer coverage).",,,,,
,,,,,
"The ASEC asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. A person reporting having Employer coverage and another type of coverage other than Medicare or Medicaid during the year would be categorized as having Employer coverage in this analysis.",,,,,
,,,,,
Data may not sum to totals due to rounding.,,,,,
,,,,,
Sources,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's March Current Population Survey (CPS: Annual Social and Economic Supplements), 2014-2017.",,,,,
,,,,,
Definitions,,,,,
*Employer*: Includes those covered by employer-sponsored coverage either through their own job or as a dependent in the same household.,,,,,
,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. ,,,,,
,,,,,
"*Other*: Includes Asians, Native Hawaiians and Pacific Islanders, American Indians, Aleutians, Eskimos and persons of ""Two or More Races"". These groups have been combined due to their small populations in many states which prevent meaningful statistical analyses of the groups individually.",,,,,
,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,
