Location,White,Black,Hispanic,Other,Total
United States,0.76,0.1,0.08,0.06,1
Alabama,0.76,0.22,N/A,0.02,1
Alaska,0.74,N/A,N/A,0.19,1
Arizona,0.8,N/A,0.14,0.03,1
Arkansas,0.85,0.1,N/A,0.04,1
California,0.59,0.05,0.2,0.17,1
Colorado,0.83,N/A,0.12,0.03,1
Connecticut,0.85,0.08,N/A,N/A,1
Delaware,0.79,0.16,N/A,N/A,1
District of Columbia,0.31,0.6,0.06,0.02,1
Florida,0.72,0.09,0.17,0.02,1
Georgia,0.67,0.28,N/A,0.03,1
Hawaii,0.23,N/A,0.04,0.72,1
Idaho,0.92,N/A,N/A,N/A,1
Illinois,0.74,0.14,0.08,0.05,1
Indiana,0.89,0.08,N/A,N/A,1
Iowa,0.95,N/A,N/A,N/A,1
Kansas,0.84,0.08,0.04,0.05,1
Kentucky,0.92,0.06,N/A,N/A,1
Louisiana,0.66,0.29,0.03,N/A,1
Maine,0.98,<.01,N/A,N/A,1
Maryland,0.65,0.25,N/A,0.07,1
Massachusetts,0.85,0.05,0.06,0.04,1
Michigan,0.83,0.12,0.02,0.03,1
Minnesota,0.94,N/A,N/A,0.05,1
Mississippi,0.7,0.28,N/A,N/A,1
Missouri,0.88,0.08,N/A,0.03,1
Montana,0.95,N/A,N/A,N/A,1
Nebraska,0.91,0.03,0.03,N/A,1
Nevada,0.75,0.06,0.1,0.1,1
New Hampshire,0.97,N/A,N/A,N/A,1
New Jersey,0.74,0.11,0.11,0.04,1
New Mexico,0.53,N/A,0.36,N/A,1
New York,0.68,0.13,0.11,0.08,1
North Carolina,0.76,0.2,0.02,N/A,1
North Dakota,0.97,N/A,N/A,N/A,1
Ohio,0.83,0.13,N/A,0.02,1
Oklahoma,0.79,0.06,N/A,0.12,1
Oregon,0.91,N/A,0.03,0.06,1
Pennsylvania,0.84,0.1,0.03,0.03,1
Rhode Island,0.86,0.06,0.07,N/A,1
South Carolina,0.74,0.23,N/A,N/A,1
South Dakota,0.95,N/A,N/A,N/A,1
Tennessee,0.85,0.12,N/A,0.03,1
Texas,0.64,0.11,0.21,0.05,1
Utah,0.89,N/A,0.07,0.04,1
Vermont,0.97,N/A,<.01,N/A,1
Virginia,0.77,0.16,0.03,0.04,1
Washington,0.86,N/A,0.04,0.09,1
West Virginia,0.94,0.04,N/A,N/A,1
Wisconsin,0.92,0.03,0.04,N/A,1
Wyoming,0.92,N/A,0.06,N/A,1
,,,,,
Notes,,,,,
"The ASEC asks respondents about their health insurance coverage throughout the previous calendar year. Respondents may report having more than one type of coverage; however, individuals are sorted into only one category of insurance coverage. A person reporting having Medicare coverage and another type of coverage during the year would be categorized as having Medicare coverage in this analysis.",,,,,
,,,,,
Data may not sum to totals due to rounding and data quality issues.,,,,,
,,,,,
Sources,,,,,
"Kaiser Family Foundation estimates based on the Census Bureau's March Current Population Survey (CPS: Annual Social and Economic Supplements), 2014-2017.",,,,,
,,,,,
Definitions,,,,,
"*Medicare*: Includes those covered by Medicare, Medicare Advantage, and those with Medicare and another type of coverage, such as dual eligibles who are also covered by Medicaid.",,,,,
,,,,,
Persons of Hispanic origin may be of any race; all other racial/ethnic groups are non-Hispanic. ,,,,,
,,,,,
"*Other*: Includes Asians, Native Hawaiians and Pacific Islanders, American Indians, Aleutians, Eskimos and persons of ""Two or More Races"". These groups have been combined due to their small populations in many states which prevent meaningful statistical analyses of the groups individually.",,,,,
,,,,,
*N/A*: Estimates with relative standard errors greater than 30% are not provided.,,,,,
